Title,URL,Description,Best Rating,Worst Rating,Rating,Genre,Duration
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",10,1,9.3,Drama,PT2H22M
The Godfather,https://www.imdb.com/title/tt0068646/,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,10,1,9.2,"Crime, Drama",PT2H55M
The Dark Knight,https://www.imdb.com/title/tt0468569/,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",10,1,9.0,"Action, Crime, Drama",PT2H32M
The Godfather Part II,https://www.imdb.com/title/tt0071562/,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",10,1,9.0,"Crime, Drama",PT3H22M
12 Angry Men,https://www.imdb.com/title/tt0050083/,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,10,1,9.0,"Crime, Drama",PT1H36M
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,10,1,9.0,"Action, Adventure, Drama",PT3H21M
Schindler&apos;s List,https://www.imdb.com/title/tt0108052/,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",10,1,9.0,"Biography, Drama, History",PT3H15M
Pulp Fiction,https://www.imdb.com/title/tt0110912/,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,1,8.9,"Crime, Drama",PT2H34M
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,10,1,8.9,"Action, Adventure, Drama",PT2H58M
"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,10,1,8.8,"Adventure, Drama, Western",PT2H58M
Forrest Gump,https://www.imdb.com/title/tt0109830/,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",10,1,8.8,"Drama, Romance",PT2H22M
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",10,1,8.8,"Action, Adventure, Drama",PT2H59M
Fight Club,https://www.imdb.com/title/tt0137523/,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,10,1,8.8,Drama,PT2H19M
Inception,https://www.imdb.com/title/tt1375666/,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",10,1,8.8,"Action, Adventure, Sci-Fi",PT2H28M
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",10,1,8.7,"Action, Adventure, Fantasy",PT2H4M
The Matrix,https://www.imdb.com/title/tt0133093/,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",10,1,8.7,"Action, Sci-Fi",PT2H16M
Goodfellas,https://www.imdb.com/title/tt0099685/,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",10,1,8.7,"Biography, Crime, Drama",PT2H25M
One Flew Over the Cuckoo&apos;s Nest,https://www.imdb.com/title/tt0073486/,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",10,1,8.7,Drama,PT2H13M
Interstellar,https://www.imdb.com/title/tt0816692/,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",10,1,8.7,"Adventure, Drama, Sci-Fi",PT2H49M
Se7en,https://www.imdb.com/title/tt0114369/,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",10,1,8.6,"Crime, Drama, Mystery",PT2H7M
It&apos;s a Wonderful Life,https://www.imdb.com/title/tt0038650/,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,10,1,8.6,"Drama, Family, Fantasy",PT2H10M
Shichinin no samurai,https://www.imdb.com/title/tt0047478/,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",10,1,8.6,"Action, Drama",PT3H27M
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",10,1,8.6,"Crime, Drama, Thriller",PT1H58M
Saving Private Ryan,https://www.imdb.com/title/tt0120815/,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",10,1,8.6,"Drama, War",PT2H49M
Cidade de Deus,https://www.imdb.com/title/tt0317248/,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",10,1,8.6,"Crime, Drama",PT2H10M
La vita è bella,https://www.imdb.com/title/tt0118799/,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",10,1,8.6,"Comedy, Drama, Romance",PT1H56M
The Green Mile,https://www.imdb.com/title/tt0120689/,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people&apos;s ailments. When the lead guard, Paul Edgecombe, recognizes John&apos;s gift, he tries to help stave off the condemned man&apos;s execution.",10,1,8.6,"Crime, Drama, Fantasy",PT3H9M
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",10,1,8.6,"Action, Adventure, Sci-Fi",PT2H17M
Star Wars,https://www.imdb.com/title/tt0076759/,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",10,1,8.6,"Action, Adventure, Fantasy",PT2H1M
Back to the Future,https://www.imdb.com/title/tt0088763/,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",10,1,8.5,"Adventure, Comedy, Sci-Fi",PT1H56M
Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",10,1,8.6,"Animation, Adventure, Family",PT2H4M
The Pianist,https://www.imdb.com/title/tt0253474/,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",10,1,8.5,"Biography, Drama, Music",PT2H30M
Gisaengchung,https://www.imdb.com/title/tt6751668/,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,10,1,8.5,"Drama, Thriller",PT2H12M
Psycho,https://www.imdb.com/title/tt0054215/,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,10,1,8.5,"Horror, Mystery, Thriller",PT1H49M
Gladiator,https://www.imdb.com/title/tt0172495/,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,10,1,8.5,"Action, Adventure, Drama",PT2H35M
The Lion King,https://www.imdb.com/title/tt0110357/,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",10,1,8.5,"Animation, Adventure, Drama",PT1H28M
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...",10,1,8.6,"Animation, Action, Adventure",PT2H20M
The Departed,https://www.imdb.com/title/tt0407887/,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,10,1,8.5,"Crime, Drama, Thriller",PT2H31M
